ID,Prediction
11896,Phase 2
151285,Withdrawn from market
4720,Investigative
21531,Approved
60692,Phase 2
1460,Approved
125351,Phase 2
12690,Phase 1
77029,Phase 2
42381,Patented
91345,Phase 2
185436,Phase 3
157663,Phase 2
68133,Phase 3
168462,Approved
161325,Approved
189595,Phase 2
152253,Phase 1
57467,Phase 1
55992,Approved
148054,Phase 1/2
95545,Phase 1
185450,Phase 2
189045,Approved
103962,Approved
93802,Phase 2
144948,Phase 2
171550,Phase 2
114593,Investigative
108171,Phase 2
110089,Phase 2
15156,Approved
128044,Approved
158631,Phase 2
110045,Phase 2
156123,Phase 2
83194,Phase 2
23877,Discontinued in Phase 2
177372,Phase 2
80852,Phase 2
178002,Phase 1
168729,Discontinued in Phase 2
8600,Approved
73242,Approved
22993,Phase 3
97129,Phase 2
158740,Approved
158963,Investigative
123927,Approved
166120,Investigative
87051,Phase 2
66340,Investigative
88131,Phase 1
119067,Approved
96328,Phase 2
47476,Phase 2
68675,Phase 2
163405,Phase 2
85294,Approved
127057,Phase 3
87393,Approved
79449,Approved
168053,Preclinical
56066,Approved
50307,Approved
117793,Phase 2
167437,Discontinued in Phase 2
122381,Patented
25876,Withdrawn from market
69614,Approved
36922,Approved
116679,Approved
150104,Phase 2
14571,Approved
15090,Phase 1
104376,Phase 1
122841,Approved
105626,Phase 2
122136,Phase 1
52455,Approved
58552,Phase 2
6662,Phase 2
84848,Phase 3
145268,Phase 3
56925,Phase 2
172879,Investigative
106944,Approved
32235,Phase 2
142668,Phase 3
141670,Approved
157832,Phase 1
170536,Phase 2
53229,Approved
96918,Phase 2
184395,Approved
155307,Discontinued in Phase 2
76164,Phase 2
92963,Phase 2
170832,Phase 1/2
116047,Phase 3
118950,Approved
40599,Phase 2
181981,Phase 2
91412,Preclinical
87994,Phase 1
112799,Discontinued in Phase 3
173734,Phase 2
15138,Phase 1
105363,Phase 1
114974,Patented
167732,Approved
149243,Investigative
131898,Approved
180848,Investigative
77804,Approved
125108,Phase 2
39652,Phase 2
41476,Phase 2
93547,Phase 2
127503,Approved
28974,Investigative
56513,Approved
167736,Approved
250,Phase 3
127821,Phase 3
60045,Phase 2
167553,Preclinical
168560,Discontinued in Phase 1
151912,Approved
42450,Phase 2
137994,Phase 1
104180,Phase 2
2031,Approved
66813,Approved
73286,Approved
149369,Phase 2
114008,Approved
130406,Discontinued in Phase 2
106868,Approved
35281,Phase 2
149513,Phase 2
100474,Phase 2
131737,Approved
107062,Phase 2
158163,Phase 1
121982,Phase 3
134792,Approved
56705,Phase 3
42549,Phase 3
84324,Approved
71289,Phase 2
33508,Phase 2
127412,Phase 1
149756,Phase 1
12910,Patented
41530,Phase 2
89455,Phase 2
185090,Approved
175816,Approved
64998,Approved
89957,Phase 2
187774,Phase 1
167162,Discontinued in Phase 1
81317,Approved
29886,Terminated
160924,Phase 1/2
157474,Phase 2
175750,Approved
52667,Phase 2
86429,Phase 2
61108,Phase 2
46568,Approved
123230,Phase 2
152007,Withdrawn from market
103160,Approved
63490,Phase 2
50542,Phase 2
41301,Phase 1
190607,Approved
59810,Phase 3
31722,Discontinued in Phase 3
57571,Phase 3
83402,Approved
24132,Phase 3
6604,Approved
23488,Phase 2/3
77479,Investigative
158659,Phase 2
137618,Phase 1
69170,Approved
2392,Approved
63845,Approved
41667,Phase 2
81545,Approved
59448,Phase 2
156443,Phase 2
72570,Phase 2
52122,Approved
142217,Phase 3
162225,Approved
52253,Phase 2
153647,Phase 3
148703,Phase 2
152469,Approved
144679,Phase 2
28766,Investigative
15447,Approved
91087,Approved
95086,Phase 2
43807,Phase 2
168622,Phase 1/2
43213,Approved
134434,Phase 2
14738,Patented
162222,Approved
70723,Phase 3
149133,Phase 3
35119,Phase 1
190285,Phase 2
182019,Phase 2
69829,Phase 1/2
22821,Phase 2
22724,Patented
29014,Phase 2
117907,Phase 1
40739,Approved
171978,Phase 1
162695,Terminated
12878,Phase 1
126776,Discontinued in Phase 2
60921,Phase 2
148490,Approved
96208,Approved
37572,Approved
61861,Approved
155014,Phase 2
46290,Discontinued in Phase 1
155478,Discontinued in Phase 2
105708,Discontinued in Phase 1
6267,Phase 1
75701,Terminated
59722,Patented
79046,Phase 2
190549,Phase 2
135918,Approved
132544,Approved
186082,Phase 2
178140,Phase 2
3237,Phase 2
15662,Phase 1
82831,Approved
105874,Discontinued in Phase 1
82349,Phase 2
21756,Approved
189296,Phase 3
49042,Phase 2
36095,Terminated
67244,Approved
84176,Phase 2
22678,Approved
151763,Phase 3
130815,Phase 2
50214,Approved
14794,Phase 1
124913,Phase 2
20340,Phase 2
173132,Approved
48648,Approved
33389,Phase 2
84060,Phase 2
4012,Phase 1
56301,Phase 2
20332,Phase 2
139578,Phase 1
72212,Phase 4
32680,Phase 2
56698,Approved
179133,Approved
19119,Approved
9301,Phase 1/2
150469,Phase 3
177314,Phase 2
113882,Phase 2
115284,Approved
128915,Phase 3
71275,Approved
4150,Investigative
105079,Patented
58063,Phase 1
150220,Investigative
24361,Approved
11705,Phase 2
66041,Terminated
109883,Terminated
58582,Phase 1
152399,Phase 3
134128,Phase 1
93120,Phase 2
142772,Phase 2
24595,Approved
81826,Investigative
185337,Phase 2
122881,Approved
109721,Approved
16340,Phase 2
186588,Phase 1
105077,Phase 2
41427,Approved
186040,Approved
151301,Approved
19413,Approved
119272,Discontinued in Preregistration
52516,Phase 2
147980,Phase 2
135610,Approved
166690,Phase 2
22089,Phase 2
140130,Phase 1
38603,Phase 2
185347,Approved
171999,Approved
189663,Phase 2
115014,Phase 2
72863,Phase 2
57730,Phase 2
133368,Discontinued in Phase 2
71091,Phase 2
176930,Phase 2
92800,Phase 2
26608,Phase 2
127555,Phase 1
84745,Phase 3
168900,Discontinued in Phase 2
104200,Phase 2
60872,Phase 1
115947,Phase 1/2
93196,Phase 2
121169,Phase 1/2
36121,Approved
80140,Approved
30665,Investigative
114500,Investigative
107595,Approved
141586,Approved
82285,Approved
18689,Phase 2
48894,Phase 1
15124,Patented
115705,Phase 1
177214,Phase 2
45034,Phase 2
73495,Phase 2
65476,Approved
10462,Phase 1
82614,Phase 2
44828,Phase 2
8058,Approved
171351,Approved
128927,Phase 1
10576,Approved
104627,Phase 1
131157,Investigative
182499,Phase 2
26838,Phase 2
113858,Phase 2
95058,Approved
67224,Approved
81174,Phase 2
132305,Phase 3
150207,Phase 3
180930,Phase 2
143074,Phase 1/2
58835,Phase 2
34458,Phase 2
19744,Phase 1
163616,Approved
77075,Phase 2
21148,Phase 2
175300,Phase 2
36729,Phase 2
84237,Approved
81133,Approved
152957,Phase 2
38050,Phase 2
138369,Phase 1
26907,Phase 1
147203,Approved
93951,Phase 2
99502,Phase 2
162209,Approved
19132,Approved
94184,Phase 2
109129,Approved
145308,Phase 2
102462,Approved
170270,Phase 2
184745,Approved
162529,Clinical trial
114363,Phase 2
9049,Approved
67153,Phase 2
25137,Phase 2
65838,Discontinued in Phase 2
46767,Discontinued in Phase 2
20126,Phase 2
40358,Approved
166175,Phase 1
110720,Phase 2
67467,Approved
126808,Phase 2
4376,Phase 2
136805,Phase 2
62646,Approved
34365,Phase 2
66204,Approved
52742,Phase 1
61052,Phase 2
190698,Phase 3
114680,Investigative
1817,Phase 1
127317,Phase 3
101959,Approved
8456,Phase 2
108957,Phase 2
156223,Phase 2
142978,Phase 1/2
158878,Phase 2
69023,Approved
101291,Approved
53874,Phase 2
190660,Phase 2
55057,Approved
156590,Phase 2
51113,Approved
47070,Investigative
109759,Approved
133565,Approved
146500,Phase 2
17855,Phase 2
103469,Phase 2
143871,Phase 1/2
165002,Phase 2
85870,Approved
46127,Phase 2
177443,Approved
188826,Phase 3
69971,Phase 1
133062,Phase 2
70647,Investigative
158942,Approved
51706,Phase 2
81903,Approved
181904,Phase 1
80101,Phase 2
14029,Phase 2
24686,Phase 2
181924,Phase 3
171593,Phase 2
12809,Phase 2
74931,Discontinued in Phase 2
43974,Phase 2
39925,Phase 2
172546,Investigative
111343,Phase 2
401,Phase 4
171017,Phase 4
28906,Investigative
10140,Withdrawn from market
107694,Terminated
78789,Discontinued in Phase 2
133613,Preclinical
62452,Phase 2
57197,Phase 2
102712,Phase 1
175987,Phase 1
75575,Phase 2
35974,Phase 2
121555,Approved
29194,Investigative
30343,Phase 2
77283,Phase 2
137931,Approved
62306,Phase 1
63963,Approved
23692,Discontinued in Phase 2
23470,Discontinued in Phase 2
147817,Phase 3
12196,Phase 2
69101,Approved
42197,Phase 1
81025,Phase 2
101946,Phase 2
130108,Phase 2
189681,Phase 2
14508,Phase 1/2
10544,Approved
74461,Phase 3
107796,Approved
164505,Phase 2
47294,Approved
21822,Phase 2
12725,Patented
96133,Phase 2
62023,Approved
12487,Phase 1
58132,Phase 2
107956,Approved
503,Phase 3
9021,Approved
183777,Approved
102503,Approved
105933,Phase 2
125181,Phase 1
158108,Phase 2
175884,Phase 3
182501,Phase 1
7222,Investigative
18454,Discontinued in Phase 2
83791,Investigative
29273,Phase 2
9909,Phase 2
148749,Phase 3
21799,Approved
111274,Approved
68839,Phase 2
1055,Phase 2
5785,Approved
7756,Phase 1/2
53520,Approved
130326,Phase 2
24457,Terminated
138457,Phase 1
153447,Phase 1
36056,Phase 3
150397,Phase 2
171039,Phase 2
165190,Phase 1/2
165011,Phase 1
111702,Phase 2
83250,Approved
52546,Approved
124472,Approved
72477,Phase 3
51207,Phase 1
31690,Discontinued in Phase 3
45218,Phase 2
186885,Investigative
178888,Phase 2
562,Phase 2
66786,Discontinued in Phase 2
144582,Discontinued in Phase 2
104683,Phase 1/2
161160,Phase 2
73922,Approved
103971,Phase 2
177450,Phase 2
100828,Discontinued in Phase 3
42265,Phase 2
96539,Phase 2
176965,Phase 2
12636,Phase 1
1374,Approved
3447,Phase 2
22849,Phase 2
73396,Approved
65362,Phase 2
105560,Phase 2
128891,Phase 1
120834,Approved
135462,Approved
159529,Phase 2
157672,Approved
93749,Phase 1/2
52809,Phase 1
130251,Phase 2
14981,Phase 1
10066,Phase 2
66514,Phase 3
113336,Phase 2
180987,Phase 1
66313,Approved
134261,Phase 2
9271,Approved
176142,Approved
79647,Phase 2
92726,Phase 2
111515,Patented
106044,Phase 1
174402,Investigative
7256,Phase 2
185354,Approved
63095,Phase 2
95386,Approved
9581,Phase 2
145830,Phase 1/2
87483,Approved
179806,Approved
116459,Phase 2
47857,Approved
40055,Approved
104819,Phase 1
171759,Phase 2
106037,Phase 2
52445,Phase 2
76643,Phase 2
107230,Phase 2
25599,Phase 2
32246,Phase 1
39053,Phase 2
111752,Phase 2
45871,Phase 2
16708,Patented
139880,Approved
79715,Phase 2
134236,Patented
99126,Phase 2
135851,Phase 1
96827,Phase 2
9234,Approved
165713,Phase 2
87856,Phase 1
48861,Phase 2
34314,Phase 3
48767,Phase 2
189580,Phase 3
57999,Phase 1
126251,Phase 2
58480,Phase 2
100458,Investigative
35269,Phase 1
69845,Phase 1
17626,Phase 1
126355,Phase 1
92142,Phase 2
76204,Approved
81792,Phase 2
150804,Phase 3
191570,Approved
166796,Phase 1/2
128991,Approved
60308,Phase 2
143154,Phase 2
184305,Approved
69151,Approved
159832,Phase 2
156430,Phase 2
72456,Discontinued in Phase 2
148167,Phase 2
132204,Approved
82714,Phase 2
42402,Approved
36993,Phase 1
110979,Phase 1
15083,Phase 1
72860,Phase 2
173640,Approved
52657,Phase 2
120546,Approved
188374,Phase 2
111927,Phase 1
116400,Approved
77091,Phase 2
111616,Phase 1
118580,Approved
90527,Phase 2
54424,Phase 2
56337,Approved
124819,Phase 1
121475,Phase 2
120108,Discontinued in Phase 2
14284,Approved
61054,Phase 2
6343,Approved
33725,Phase 2
126120,Discontinued in Phase 2
166416,Phase 2
97116,Approved
21787,Phase 2
45856,Phase 2
38791,Phase 3
96966,Phase 2
44794,Phase 3
11986,Phase 2
103133,Approved
144459,Investigative
19769,Phase 3
4982,Phase 1
151706,Investigative
59549,Phase 2
31118,Terminated
114325,Approved
151014,Phase 1
63530,Approved
125176,Approved
176492,Phase 2
191283,Phase 2
177195,Phase 2
110379,Phase 2
191195,Approved
170826,Phase 2
44492,Phase 2
87571,Phase 2
94374,Phase 2
44187,Phase 2
185624,Investigative
139190,Phase 2
118609,Investigative
47644,Phase 3
7237,Investigative
131878,Phase 1
48714,Phase 2
100602,Terminated
31488,Approved
90422,Withdrawn from market
28836,Investigative
80027,Approved
75187,Phase 1/2
54150,Phase 2
42283,Phase 2
4180,Investigative
17065,Approved
172718,Phase 1
161280,Phase 2
71314,Phase 1
279,Phase 2
165520,Approved
55975,Phase 2
145424,Phase 3
83206,Approved
100447,Phase 2
131332,Investigative
7162,Approved
58568,Phase 1
104804,Terminated
136862,Phase 1
113081,Phase 3
74927,Phase 1
82060,Approved
124840,Phase 1
170006,Phase 1
146906,Phase 3
4451,Phase 1
73470,Approved
130252,Phase 2
19948,Phase 3
106207,Phase 2
108348,Patented
180106,Phase 2
135519,Approved
168320,Approved
120677,Approved
102676,Discontinued in Phase 1
106076,Phase 2
96231,Phase 2
35669,Approved
124022,Approved
12031,Phase 2
2835,Phase 1
29770,Phase 3
146314,Investigative
32859,Phase 2
28620,Investigative
139530,Approved
172179,Phase 2
2575,Approved
163131,Approved
153666,Phase 2
43274,Phase 2
152310,Phase 1/2
125011,Phase 2
47991,Approved
144442,Terminated
141696,Approved
47307,Approved
189587,Phase 2
137405,Phase 3
3894,Phase 2
124009,Approved
52320,Approved
59888,Phase 2
152846,Phase 3
146535,Phase 2
143374,Approved
145169,Phase 2
164156,Phase 1
58880,Phase 2
7981,Discontinued in Phase 3
110104,Phase 2
54080,Phase 2
153548,Phase 2
186759,Phase 1
79462,Phase 2
10025,Approved
121653,Patented
104160,Phase 2
102216,Phase 2
61255,Phase 2
112420,Phase 1
40318,Phase 1
26226,Phase 2/3
112823,Discontinued in Phase 3
189402,Phase 2
167877,Preclinical
175533,Phase 2
46557,Approved
6118,Approved
6224,Phase 1
116215,Phase 3
131654,Phase 1
104310,Phase 2
87401,Discontinued in Phase 3
79166,Phase 2
28761,Investigative
37973,Investigative
129460,Withdrawn from market
103466,Phase 2
120949,Phase 1/2
14640,Patented
93777,Phase 1/2
499,Phase 2
161533,Discontinued in Phase 2
98436,Approved
60192,Phase 1
58083,Phase 1
29135,Phase 2
36118,Approved
65909,Approved
35168,Phase 1
74266,Approved
172313,Phase 1
165951,Phase 2
15160,Approved
2819,Phase 1
112477,Discontinued in Phase 2
127911,Approved
151427,Investigative
21747,Phase 2
3462,Phase 1
166925,Approved
165315,Phase 3
99215,Phase 2
56494,Approved
160022,Phase 2
109224,Phase 2
139488,Phase 2
138165,Approved
72240,Phase 1
161356,Terminated
188319,Approved
112740,Discontinued in Phase 3
4031,Phase 1
45151,Phase 3
53907,Approved
16101,Phase 1
49130,Approved
52848,Phase 2
76210,Phase 2
29479,Phase 2
4207,Investigative
189656,Phase 1
59862,Patented
154090,Phase 2
113633,Phase 1
88857,Phase 2
73428,Phase 2
125582,Phase 2
6316,Approved
47260,Phase 2
173042,Phase 2
29579,Approved
129120,Approved
185381,Phase 2
88281,Phase 3
33594,Phase 2
27727,Phase 2
59037,Phase 2
147948,Investigative
144101,Phase 1
45993,Phase 2
50415,Approved
72406,Phase 2
54693,Phase 2
151015,Phase 1
72450,Phase 3
51480,Approved
162174,Approved
52293,Discontinued in Phase 2
146637,Phase 3
108825,Phase 2
163668,Phase 2
116485,Approved
1344,Approved
117385,Approved
78858,Phase 2
161668,Approved
72221,Phase 1
124125,Patented
5933,Phase 2
108424,Phase 2
73815,Approved
18865,Phase 2
124533,Phase 2
5928,Phase 2
26224,Phase 2
125661,Discontinued in Phase 2
177320,Phase 2
184187,Phase 2
36147,Phase 2
91103,Discontinued in Phase 2
38294,Phase 2
108270,Phase 2
156578,Approved
140731,Terminated
165490,Approved
72082,Phase 2
36298,Phase 2
124270,Approved
113110,Discontinued in Phase 1
102672,Approved
136935,Phase 3
58674,Phase 2
93322,Phase 2
38925,Phase 2
101089,Phase 2
65813,Approved
134648,Approved
147587,Phase 2
38078,Phase 2
16898,Patented
107218,Phase 1
163702,Phase 2
165807,Patented
160420,Phase 2
186311,Phase 2
163099,Phase 3
116183,Phase 2
66030,Phase 1
61170,Phase 2
93712,Phase 2
76755,Phase 2
88323,Discontinued in Phase 3
89147,Phase 3
122319,Patented
147280,Phase 2
74702,Phase 2
4132,Phase 1
130047,Approved
52640,Phase 2
160471,Phase 2
48841,Phase 2
112201,Discontinued in Phase 2
3160,Phase 2
121522,Approved
93713,Phase 2
9827,Phase 2
37737,Phase 2
128679,Phase 2
120551,Investigative
165749,Phase 2
147435,Phase 3
72351,Phase 1/2
65431,Investigative
31091,Phase 3
71036,Phase 2
138185,Approved
67214,Approved
165492,Phase 1
7424,Phase 1
1024,Approved
82913,Approved
83370,Approved
130790,Phase 2
117711,Phase 3
40770,Phase 2
43681,Phase 2
60904,Phase 2
176669,Phase 2
102072,Phase 1
184806,Phase 2
62474,Phase 2
118500,Phase 2
91698,Approved
47386,Phase 2
134989,Approved
50970,Phase 2
165401,Phase 2
62041,Approved
76908,Phase 2
121815,Approved
118436,Investigative
70909,Investigative
94869,Terminated
121519,Phase 2
17116,Phase 2
71910,Phase 2
182422,Phase 2
22806,Phase 2
150293,Phase 2
5022,Phase 1
4195,Phase 1
56596,Phase 2
43939,Phase 2
187781,Phase 2
171281,Investigative
107086,Approved
95000,Approved
27380,Phase 2
91059,Phase 2
109356,Phase 2
191002,Phase 1
102535,Approved
35573,Phase 2
100395,Terminated
81326,Approved
88631,Phase 1
177635,Phase 2
71382,Investigative
36574,Discontinued in Phase 2
85487,Investigative
42422,Approved
192030,Approved
51862,Approved
115140,Phase 2
64987,Approved
9327,Preclinical
107197,Approved
15988,Patented
146646,Phase 2
86562,Phase 2
18018,Phase 3
22181,Approved
32447,Phase 3
19499,Approved
178961,Approved
78663,Phase 2
19526,Approved
109442,Discontinued in Phase 1
123328,Phase 2
138527,Approved
112769,Discontinued in Phase 3
158144,Approved
188243,Phase 2
123979,Phase 1
155934,Terminated
70067,Phase 2
13312,Phase 1
50327,Phase 1
95249,Investigative
90655,Approved
15948,Phase 1
173365,Phase 1
132436,Approved
173326,Approved
27035,Phase 2
75004,Phase 2
127370,Phase 2
38838,Approved
143279,Phase 2
163208,Phase 2
9144,Approved
11642,Phase 2
57785,Phase 2
67766,Approved
170288,Phase 2
181155,Phase 3
12284,Patented
128693,Approved
180572,Phase 2
52592,Approved
146649,Phase 1/2
127105,Phase 2
98248,Phase 3
62606,Approved
23067,Phase 3
26144,Phase 2
34245,Phase 2
48745,Approved
4574,Phase 2
154715,Phase 2
139013,Approved
90341,Phase 3
11366,Phase 2
43105,Phase 3
173699,Phase 2
157160,Phase 2
145183,Investigative
117257,Phase 2
81447,Approved
101752,Phase 1
103579,Discontinued in Phase 2
189168,Phase 2
86599,Phase 1
118701,Approved
32597,Phase 2
68923,Approved
78611,Phase 1
111589,Patented
11205,Approved
22353,Phase 3
